"chemin_original","type","classement_audit","statut_git_initial","action_realisee","motif","protection","sha256_original","chemin_archive","sha256_archive","references_entrantes_avant","liens_sortants_avant","informations_a_preserver","revision_source"
"docs/VINYL-ROTATION.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","9c091386607ae78d5638a18085dee50c0da107721a3d99d56351edb2cc2a79d2","","","","[]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/WAVE-VIEWER-AUDIT.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","ea8369a39367155f0c213ca1f041d848ccfcd2be4a35a69e3b7549ed6bf8b1e6","docs/archive/2026-09-13/chantier/docs/WAVE-VIEWER-AUDIT.md","ea8369a39367155f0c213ca1f041d848ccfcd2be4a35a69e3b7549ed6bf8b1e6","","[]","règles métier; audio/live; permissions; migrations","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/audio-engine-framework-decision.md","document","À archiver","suivi","copie_chantier","Références entrantes: copie historique, original maintenu pour ne pas casser les lecteurs","","a599418c4b4e9890ed30d18851b449a800319f6853a264a52acca903a73e63b7","docs/archive/2026-09-13/chantier/docs/audio-engine-framework-decision.md","a599418c4b4e9890ed30d18851b449a800319f6853a264a52acca903a73e63b7","docs/ios-audio-engine-audit.md","[{""url"":""./audio-engine-plugin-host-strategy.md"",""target"":""docs/audio-engine-plugin-host-strategy.md"",""exists"":true},{""url"":""./ios-audio-engine-audit.md"",""target"":""docs/ios-audio-engine-audit.md"",""exists"":true},{""url"":""./audio-engine-room-bridge-decision.md"",""target"":""docs/audio-engine-room-bridge-decision.md"",""exists"":true},{""url"":""./ios-audio-engine-audit.md"",""target"":""docs/ios-audio-engine-audit.md"",""exists"":true},{""url"":""./audio-engine-room-bridge-decision.md"",""target"":""docs/audio-engine-room-bridge-decision.md"",""exists"":true}]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/audio-engine-plugin-host-strategy.md","document","À remplacer","suivi","copie_reference","Sauvegarde avant remplacement; original actif inchangé","","e2b44afcdae2dd639113a584c91dad246544ecba870cc6fa76d44586f5bf0a73","docs/archive/2026-09-13/references-remplacees/docs/audio-engine-plugin-host-strategy.md","e2b44afcdae2dd639113a584c91dad246544ecba870cc6fa76d44586f5bf0a73","docs/audio-engine-framework-decision.md","[]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/audio-engine-room-bridge-decision.md","document","À remplacer","suivi","copie_reference","Sauvegarde avant remplacement; original actif inchangé","","b75545d398d839bd80a0839304328a8b17dc6e6ec68f9c32738146cfca81a909","docs/archive/2026-09-13/references-remplacees/docs/audio-engine-room-bridge-decision.md","b75545d398d839bd80a0839304328a8b17dc6e6ec68f9c32738146cfca81a909","docs/audio-engine-framework-decision.md | docs/ios-audio-engine-audit.md","[{""url"":""../src/features/rooms/place/placeLocalAudioEngine.ts"",""target"":""src/features/rooms/place/placeLocalAudioEngine.ts"",""exists"":true},{""url"":""../src/features/rooms/place/usePlaceLocalAudio.ts"",""target"":""src/features/rooms/place/usePlaceLocalAudio.ts"",""exists"":true},{""url"":""../src/features/rooms/place/PlaceStage.tsx"",""target"":""src/features/rooms/place/PlaceStage.tsx"",""exists"":true},{""url"":""../src/features/rooms/place/place.service.ts"",""target"":""src/features/rooms/place/place.service.ts"",""exists"":true},{""url"":""../supabase/migrations/20260603123000_rooms_mux_broadcast.sql"",""target"":""supabase/migrations/20260603123000_rooms_mux_broadcast.sql"",""exists"":true},{""url"":""../supabase/migrations/20260809124500_rooms_host_guest_gain_v3.sql"",""target"":""supabase/migrations/20260809124500_rooms_host_guest_gain_v3.sql"",""exists"":true}]","architecture; contrats audio; limites du prototype; licences","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/backend/ARCHITECTURE.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","ac84c57534b0331d8036228e11303416312f1016b29224e792ef563b491dbe9b","","","","[]","sécurité; modèle de données; API; déploiement à attester","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/backend/ENVIRONMENTS_AND_RELEASES.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","6c9686d31b37bf362bcd563f89bcb32fd86bfdc311bf042d7342ca4d9992f030","","","","[]","sécurité; modèle de données; API; déploiement à attester","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/backend/IOS_CODER_MASTER_PROMPT.md","document","À archiver","suivi","copie_chantier","Références entrantes: copie historique, original maintenu pour ne pas casser les lecteurs","","3bc800edd74ff0a427b7f5f15031990d1141828f2aa437719f029be9c2a8513d","docs/archive/2026-09-13/chantier/docs/backend/IOS_CODER_MASTER_PROMPT.md","3bc800edd74ff0a427b7f5f15031990d1141828f2aa437719f029be9c2a8513d","docs/backend/PLATFORM_V1_ORCHESTRATION.md","[]","sécurité; modèle de données; API; déploiement à attester","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/backend/MARKETPLACE_SUPABASE_SPEC.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","6ee405b36c9a6ec7f49bd3b631a36560b38d64bcdcdf388eea57e7dddda77e6f","","","","[]","sécurité; modèle de données; API; déploiement à attester","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/backend/MESSAGING_SUPABASE_SPEC.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","9c7d6371a1263ec789fc44fe23fc5a15ddfd8612bc783febee44df68d73d7e9e","","","docs/backend/PLATFORM_V1_ORCHESTRATION.md | docs/backend/WIRING_MATRIX.md","[]","sécurité; modèle de données; API; déploiement à attester","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/backend/PLATFORM_V1_ORCHESTRATION.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","2d3bd47063152ab17eea0d28b18ae68159ebb16c8ba800b359dba179caa38f48","docs/archive/2026-09-13/chantier/docs/backend/PLATFORM_V1_ORCHESTRATION.md","2d3bd47063152ab17eea0d28b18ae68159ebb16c8ba800b359dba179caa38f48","","[]","sécurité; modèle de données; API; déploiement à attester","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/backend/SECURITY_AND_BACKEND_READINESS.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","1675d7aaef920f964d787d790191069102d99b15255eb699c01fb57854bf2e8b","docs/archive/2026-09-13/chantier/docs/backend/SECURITY_AND_BACKEND_READINESS.md","1675d7aaef920f964d787d790191069102d99b15255eb699c01fb57854bf2e8b","","[]","sécurité; modèle de données; API; déploiement à attester","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/backend/WAVE_ASSET_PIPELINE_V4.md","document","À conserver","suivi","laisse_en_place","Vérité technique conservée; aucune réécriture dans la phase 1","","204f6f17e4818768b36ba1128350455410a42eaa4195bd835037efe44e46c580","","","docs/rooms/WAVE_PRODUCTION_V2.md","[]","sécurité; modèle de données; API; déploiement à attester","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/backend/WIRING_MATRIX.md","document","À remplacer","suivi","copie_reference","Sauvegarde avant remplacement; original actif inchangé","","45f6543f4fa84ea4f23f37af0d275df979969c4c9d2328e798c1511e9b2eb1c4","docs/archive/2026-09-13/references-remplacees/docs/backend/WIRING_MATRIX.md","45f6543f4fa84ea4f23f37af0d275df979969c4c9d2328e798c1511e9b2eb1c4","","[{""url"":""./MESSAGING_SUPABASE_SPEC.md"",""target"":""docs/backend/MESSAGING_SUPABASE_SPEC.md"",""exists"":true}]","sécurité; modèle de données; API; déploiement à attester","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/classe-preview.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","73ede0845c8c51c0a18fff6478a6893b00044df70919a765e6555955b858a36e","docs/archive/2026-09-13/chantier/docs/classe-preview.md","73ede0845c8c51c0a18fff6478a6893b00044df70919a765e6555955b858a36e","","[]","historique et décisions; périmètre de la version","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/cross-feature-wiring-audit.md","document","À archiver","suivi","deplace_chantier","Document historique autorisé, aucune référence ni lien relatif détecté","","4a397cc73ac7a00589705e7dc5f73f565b0a8875dadfaaab5b862a4a673ff548","docs/archive/2026-09-13/chantier/docs/cross-feature-wiring-audit.md","4a397cc73ac7a00589705e7dc5f73f565b0a8875dadfaaab5b862a4a673ff548","","[]","historique et décisions; périmètre de la version","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/geospatial/acceptance-report.md","document","À archiver","suivi","laisse_en_place","Rapport géographique susceptible de porter sources et transformations: provenance conservée","Rapport géographique susceptible de porter sources et transformations: provenance conservée","dc74ec4379d5e80fec4510b207f43b87ad5db283deae5736c1892191de49f810","","","","[{""url"":""visual-regression/paris-pr6-legacy.jpg"",""target"":""docs/geospatial/visual-regression/paris-pr6-legacy.jpg"",""exists"":true},{""url"":""visual-regression/paris-pr6-national.jpg"",""target"":""docs/geospatial/visual-regression/paris-pr6-national.jpg"",""exists"":true},{""url"":""visual-regression/paris-pr6-diff-x6.jpg"",""target"":""docs/geospatial/visual-regression/paris-pr6-diff-x6.jpg"",""exists"":true},{""url"":""visual-regression/paris-pr6-commune-legacy.jpg"",""target"":""docs/geospatial/visual-regression/paris-pr6-commune-legacy.jpg"",""exists"":true},{""url"":""visual-regression/paris-pr6-commune-national.jpg"",""target"":""docs/geospatial/visual-regression/paris-pr6-commune-national.jpg"",""exists"":true},{""url"":""visual-regression/existing-cities-pr7-legacy.jpg"",""target"":""docs/geospatial/visual-regression/existing-cities-pr7-legacy.jpg"",""exists"":true},{""url"":""visual-regression/existing-cities-pr7-national.jpg"",""target"":""docs/geospatial/visual-regression/existing-cities-pr7-national.jpg"",""exists"":true},{""url"":""visual-regression/trappes-pr7-legacy.jpg"",""target"":""docs/geospatial/visual-regression/trappes-pr7-legacy.jpg"",""exists"":true},{""url"":""visual-regression/trappes-pr7-national.jpg"",""target"":""docs/geospatial/visual-regression/trappes-pr7-national.jpg"",""exists"":true},{""url"":""visual-regression/generic-buildings-pr10.jpg"",""target"":""docs/geospatial/visual-regression/generic-buildings-pr10.jpg"",""exists"":false},{""url"":""visual-regression/national-search-suggestion-pr10b.jpg"",""target"":""docs/geospatial/visual-regression/national-search-suggestion-pr10b.jpg"",""exists"":true},{""url"":""visual-regression/national-search-trappes-pr10b.jpg"",""target"":""docs/geospatial/visual-regression/national-search-trappes-pr10b.jpg"",""exists"":true},{""url"":""rollback.md"",""target"":""docs/geospatial/rollback.md"",""exists"":true}]","architecture; configuration; provenance géographique","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/geospatial/curation-tool.md","document","À archiver","suivi","laisse_en_place","Rapport géographique susceptible de porter sources et transformations: provenance conservée","Rapport géographique susceptible de porter sources et transformations: provenance conservée","cf79dc5a76555de4659f4ba101e4b9a711971f75c842e4306bec10dd946baa98","","","","[]","architecture; configuration; provenance géographique","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
"docs/geospatial/current-city-pipeline-audit.md","document","À remplacer","suivi","copie_reference","Sauvegarde avant remplacement; original actif inchangé","","d1401a48a503dfe21dadba49eec883e442028a230934867ae2bafcaafe19e18c","docs/archive/2026-09-13/references-remplacees/docs/geospatial/current-city-pipeline-audit.md","d1401a48a503dfe21dadba49eec883e442028a230934867ae2bafcaafe19e18c","","[]","architecture; configuration; provenance géographique","8e07a1071f13d72f07aa0aacfdf3a6534caa0ecb"
